Station,GPS
Le Peletier,"48.87497174554318, 2.34057598204372"
Les Gobelins,"48.83593030287887, 2.3525422662627022"
Madeleine,"48.869633173024916, 2.326272274027749"
Mairie d'Ivry,"48.81052080428471, 2.384289600960821"
Passy,"48.85744869007581, 2.2858124441464076"
Pasteur,"48.842871275006345, 2.3124475130659863"
Père Lachaise,"48.86312321464208, 2.3858824493261475"
Place des Fêtes,"48.87694984811022, 2.3929839648173936"
Place d'Italie,"48.83143363013256, 2.355643643033711"
Notre-Dame-de-Lorette,"48.876047496005405, 2.337495844533765"
Opéra,"48.87130850300574, 2.331493987087091"
Porte de Montreuil,"48.853772788014886, 2.4118948370564355"
Strasbourg - Saint-Denis,"48.869628863778516, 2.354468813108209"
Télégraphe,"48.87547445667917, 2.398867596625601"
Porte de Saint-Cloud,"48.83796121443632, 2.2571222298326203"
Porte d'Ivry,"48.82135578381409, 2.3692905873460295"
Pyrénées,"48.87388185415816, 2.385316215101792"
Quai de la Gare,"48.83704512015793, 2.3728257245425723"
Saint-Denis - Porte de Paris,"48.929935889678696, 2.3560357941727967"
Wagram,"48.88380920123339, 2.304674440528396"
Vaugirard,"48.839516585402485, 2.3011075162423964"
Les Courtilles,"48.93075700423553, 2.284174448270923"
Porte d'Orléans,"48.823151633128084, 2.325509577822384"
Gare de l'Est,"48.87612635294891, 2.358047505360746"
Kléber,"48.87126214446096, 2.2932406499473137"
Ménilmontant,"48.866446806067, 2.383599109573657"
Montgallet,"48.84406559730793, 2.390482133980388"
Mairie de Montreuil,"48.86229941281971, 2.4415218094110314"
Pigalle,"48.88224953318808, 2.3371645394451463"
Porte de Bagnolet,"48.86460037337562, 2.408031037075815"
Ternes,"48.87797270141956, 2.2983103737615287"
Rue du Bac,"48.85519632481491, 2.325815566511529"
Villejuif - Léo Lagrange,"48.80468812091137, 2.3639531966021656"
Corentin Celton,"48.82708544889644, 2.2794116820504207"
Lourmel,"48.83873485883676, 2.2821433781708915"
Mairie d'Issy,"48.82430937109403, 2.2736655574997546"
Porte d'Auteuil,"48.847971541497, 2.257744680363203"
Porte Dorée,"48.83478515808142, 2.4053832106267716"
Quai de la Rapée,"48.8464846505702, 2.36591010685298"
Les Courtilles,"48.93021421228678, 2.2837225573283972"
Gare d'Austerlitz,"48.84236008246694, 2.3655817027477433"
Gare de Lyon,"48.84586897868619, 2.373774422563834"
Porte de Clichy,"48.89498081072532, 2.312791961501292"
Porte de Charenton,"48.83199308710852, 2.398350103858007"
Invalides,"48.86038127919816, 2.3148907300588806"
Château-Landon,"48.87844430039445, 2.3619653022299603"
Crimée,"48.890906449558166, 2.377090439088876"
Charenton - Écoles,"48.821897939434606, 2.413132938342708"
Châtelet,"48.859287325170946, 2.345803056189527"
Jaurès,"48.88162402899078, 2.3702590567553905"
Pointe du Lac,"48.76881073420608, 2.464280070543357"
Strasbourg - Saint-Denis,"48.86940219665552, 2.3538187935928794"
Villiers,"48.881094427166275, 2.3147210047461946"
Aimé Césaire,"48.90808243782026, 2.377741481106109"
